SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
EMPOWER COLLEGE PREP,MARICOPA,65,0.692
ENCANTO ELEMENTARY SCHOOL,MARICOPA,144,0.91
ENTZ ELEMENTARY SCHOOL,MARICOPA,70,0.843
ESMOND STATION SCHOOL,PIMA,67,0.94
ESPERANZA ELEMENTARY SCHOOL - 85706,PIMA,62,1.0
ESPERANZA ELEMENTARY SCHOOL-85009,MARICOPA,59,0.983
ESPERANZA ELEMENTARY SCHOOL-85027,MARICOPA,59,0.915
ESTRELLA FOOTHILLS GLOBAL ACADEMY,MARICOPA,96,0.906
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,MARICOPA,39,0.897
ESTRELLA VISTA ELEMENTARY,MARICOPA,79,0.937
EVA MARSHALL ELEMENTARY SCHOOL,COCONINO,54,0.815
EXCELENCIA SCHOOL,MARICOPA,51,0.941
FAITH COMMUNITY ACADEMY - 85741,PIMA,21,0.476
FAITH MATHER SOSSAMAN ELEMENTARY,MARICOPA,143,0.825
FALCON HILL ELEMENTARY SCHOOL,MARICOPA,76,0.895
FARAS ELEMENTARY SCHOOL,COCHISE,20,1.0
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,MARICOPA,30,0.867
FIELD ELEMENTARY SCHOOL,MARICOPA,66,0.955
FINLEY FARMS ELEMENTARY,MARICOPA,60,0.883
FIRESIDE ELEMENTARY SCHOOL,MARICOPA,100,0.95
FIRST BAPTIST CHRISTIAN ACADEMY,COCHISE,23,0.87
FLAGSTAFF CHRISTIAN SCHOOL,COCONINO,36,0.528
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,COCONINO,32,0.906
FLORA THEW ELEMENTARY SCHOOL,MARICOPA,85,0.918
FLORENCE K-8,PINAL,79,0.848
FOOTHILLS ELEMENTARY SCHOOL-85306,MARICOPA,48,0.854
FORD ELEMENTARY SCHOOL,PIMA,20,0.95
FORT MOHAVE ELEMENTARY SCHOOL,MOHAVE,137,0.912
FORT THOMAS ELEMENTARY SCHOOL,GRAHAM,25,0.88
FOUR PEAKS ELEMENTARY SCHOOL - N IDAHO RD,PINAL,67,0.896
FOWLER ELEMENTARY SCHOOL,MARICOPA,56,0.982
FRANCES BRANDEN-PICKETT ELEMENTARY,MARICOPA,100,0.84
FRANCES J WARREN ELEMENTARY SCHOOL,PIMA,31,1.0
FRANCES OWEN HOLAWAY ELEMENTARY SCHOOL,PIMA,35,0.943
FRANK BORMAN MIDDLE SCHOOL,MARICOPA,80,0.95
FRANK ELEMENTARY SCHOOL,MARICOPA,74,0.946
FRANKLIN ACCELERATED ACADEMY - DOWNTOWN CAMPUS,MARICOPA,52,0.942
FRANKLIN ACCELERATED ACADEMY - JORDAN CAMPUS,MARICOPA,34,0.882
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,MARICOPA,116,0.845
FRANKLIN ELEMENTARY SCHOOL,MARICOPA,68,0.956
FRANKLIN PHONETIC PRIMARY SCHOOL,YAVAPAI,47,0.809
FREEDOM ACADEMY - E PARADISE LN,MARICOPA,23,0.957
FREEDOM CHRISTIAN ACADEMY,YUMA,25,0.72
FREEDOM ELEMENTARY SCHOOL - 85326,MARICOPA,59,0.915
FREEDOM TRADITIONAL ACADEMY - 85374,MARICOPA,71,0.859
FRONTIER ELEMENTARY SCHOOL,MARICOPA,63,0.873
